Date,Open,High,Low,Close,Adj Close,Volume
01/01/1990,9.95,10.22,9.81,9.83,0.910033,0
01/02/1990,9.87,10.09,9.87,10.02,0.927622,0
01/03/1990,9.98,10.14,9.98,10.12,0.93688,0
01/04/1990,10.06,10.09,9.74,9.74,0.9017,0
01/05/1990,9.74,10.53,9.74,10.51,0.972985,0
01/06/1990,10.55,10.8,10.55,10.8,0.999832,0
01/07/1990,10.83,10.93,10.69,10.74,0.994278,0
01/08/1990,10.68,10.68,9.49,9.67,0.89522,0
01/09/1990,9.61,9.66,8.83,8.86,0.820233,0
01/10/1990,8.93,8.99,8.61,8.71,0.841443,0
01/11/1990,8.64,9.18,8.64,9.18,0.886848,0
01/12/1990,9.19,9.47,9.19,9.47,0.914864,0
01/01/1991,9.45,10.34,9.16,10.34,0.998911,0
01/02/1991,10.45,11.26,10.45,11.26,1.08779,0
01/03/1991,11.33,12.01,11.33,12.01,1.160244,0
01/04/1991,12,13.04,12,12.47,1.204683,0
01/05/1991,12.55,12.76,12.26,12.66,1.223039,0
01/06/1991,12.69,12.73,11.9,11.9,1.149617,0
01/07/1991,11.97,12.63,11.95,12.63,1.22014,0
01/08/1991,12.62,12.98,12.34,12.98,1.253952,0
01/09/1991,12.97,12.97,12.4,12.6,1.217242,0
01/10/1991,12.68,13.04,12.44,13.04,1.303015,0
01/11/1991,13.05,13.34,12.51,12.51,1.250054,0
01/12/1991,12.51,13.05,12.14,13.05,1.304014,0
01/01/1992,13.02,14.19,13.02,14.18,1.454186,0
01/02/1992,14.23,15.09,14.23,15.09,1.547508,0
01/03/1992,15.08,15.08,14.54,14.59,1.496232,0
01/04/1992,14.48,14.73,14.01,14.73,1.51059,0
01/05/1992,14.76,15,14.73,14.83,1.520844,0
01/06/1992,14.88,14.92,14.16,14.47,1.483926,0
01/07/1992,14.58,14.94,14.51,14.94,1.532125,0
01/08/1992,15.01,15.05,14.75,14.9,1.528023,0
01/09/1992,14.9,15.02,14.24,14.41,1.477773,0
01/10/1992,14.26,14.65,14.05,14.65,1.565984,0
01/11/1992,14.7,15.64,14.7,15.64,1.671808,0
01/12/1992,15.69,15.98,15.64,15.96,1.706014,0
01/01/1993,15.93,16.49,15.93,16.370001,1.769966,0
01/02/1993,16.41,16.559999,16.07,16.23,1.754829,0
01/03/1993,16.25,16.719999,16.25,16.719999,1.807809,0
01/04/1993,16.690001,16.690001,16.459999,16.559999,1.790509,0
01/05/1993,16.610001,16.92,16.610001,16.91,1.828351,0
01/06/1993,16.92,16.969999,16.73,16.969999,1.83484,0
01/07/1993,17.030001,17.190001,16.969999,17.190001,1.858626,0
01/08/1993,17.190001,17.799999,17.190001,17.799999,1.924581,0
01/09/1993,17.82,17.82,16.34,16.83,1.819702,0
01/10/1993,16.860001,17.459999,16.860001,17.450001,2.012145,0
01/11/1993,17.450001,17.49,17,17.15,1.977552,0
01/12/1993,17.290001,17.32,16.700001,17.299999,1.994848,0
01/01/1994,17.299999,18.200001,17.299999,18.200001,2.183076,0
01/02/1994,18.23,18.35,17.93,18.190001,2.181876,0
01/03/1994,18.110001,18.280001,17.389999,17.389999,2.085916,0
01/04/1994,17.1,17.559999,17.1,17.540001,2.103909,0
01/05/1994,17.610001,17.629999,17.280001,17.48,2.096712,0
01/06/1994,17.49,17.6,17.08,17.23,2.066725,0
01/07/1994,17.219999,17.620001,17.209999,17.620001,2.113504,0
01/08/1994,17.6,18.280001,17.6,18.280001,2.192672,0
01/09/1994,18.25,18.25,16.629999,16.74,2.00795,0
01/10/1994,16.67,16.870001,16.469999,16.870001,2.220665,0
01/11/1994,16.809999,16.809999,16.25,16.42,2.161429,0
01/12/1994,16.32,16.32,15.42,16,2.106143,0
01/01/1995,15.92,16.15,15.92,15.99,2.174099,0
01/02/1995,16.030001,16.459999,16.030001,16.450001,2.236644,0
01/03/1995,16.41,16.559999,16.33,16.559999,2.251601,0
01/04/1995,16.559999,17.1,16.559999,17.1,2.325023,0
01/05/1995,17.110001,17.549999,17.110001,17.450001,2.372611,0
01/06/1995,17.5,18.139999,17.5,18.129999,2.465067,0
01/07/1995,18.15,19.25,18.15,19.25,2.61735,0
01/08/1995,19.18,19.52,19.16,19.43,2.641824,0
01/09/1995,19.48,19.73,18.799999,18.98,2.580638,0
01/10/1995,18.9,18.9,18.35,18.440001,2.613174,0
01/11/1995,18.469999,18.92,18.469999,18.92,2.681197,0
01/12/1995,18.950001,19.059999,18.110001,18.5,2.621678,0
01/01/1996,18.58,18.700001,18.219999,18.700001,2.74662,0
01/02/1996,18.790001,19.33,18.790001,19.299999,2.834747,0
01/03/1996,19.34,19.620001,19.16,19.620001,2.881747,0
01/04/1996,19.690001,20.440001,19.629999,20.440001,3.002188,0
01/05/1996,20.5,21.059999,20.379999,21.059999,3.093253,0
01/06/1996,21.02,21.15,20.48,20.66,3.0345,0
01/07/1996,20.700001,20.73,19.559999,19.870001,2.918467,0
01/08/1996,19.99,20.690001,19.99,20.629999,3.030095,0
01/09/1996,20.549999,20.65,19.09,19.65,2.886155,0
01/10/1996,19.639999,20.07,19.639999,20.01,3.183692,0
01/11/1996,20.08,21.07,20.08,21.07,3.352343,0
01/12/1996,21.110001,21.35,20.67,21.35,3.396892,0
01/01/1997,21.16,21.83,21.16,21.59,3.488002,0
01/02/1997,21.66,22.09,21.639999,21.84,3.528389,0
01/03/1997,21.82,22.27,21.440001,21.440001,3.463767,0
01/04/1997,21.35,21.41,21.16,21.41,3.458921,0
01/05/1997,21.540001,23.02,21.540001,23.02,3.719026,0
01/06/1997,23.1,23.950001,23.1,23.950001,3.869276,0
01/07/1997,23.98,25.200001,23.98,25.200001,4.071219,0
01/08/1997,25.17,25.41,24.98,25.41,4.105146,0
01/09/1997,25.610001,25.75,24.620001,25.75,4.160075,0
01/10/1997,25.799999,26.370001,25,25.33,4.302765,0
01/11/1997,25.610001,25.780001,25.15,25.450001,4.323149,0
01/12/1997,25.610001,25.780001,24.59,25.129999,4.26879,0
01/01/1998,25.16,25.219999,24.309999,25.139999,4.373934,0
01/02/1998,25.34,26.52,25.34,26.52,4.61403,0
01/03/1998,26.610001,27.52,26.360001,27.5,4.784532,0
01/04/1998,27.66,28.27,27.43,27.889999,4.852386,0
01/05/1998,27.969999,28.09,27,27.25,4.741037,0
01/06/1998,27.1,27.360001,26.299999,27.120001,4.718419,0
01/07/1998,27.219999,27.620001,25.870001,25.870001,4.500941,0
01/08/1998,25.610001,25.610001,21.799999,21.799999,3.792829,0
01/09/1998,22.25,22.41,20.280001,20.629999,3.58927,0
01/10/1998,20.139999,21.450001,18.67,21.450001,4.083242,0
01/11/1998,21.790001,22.459999,21.76,22.33,4.250758,0
01/12/1998,22.35,22.85,21.559999,22.85,4.349748,0
01/01/1999,22.780001,22.98,22.5,22.620001,4.350839,0
01/02/1999,22.66,22.66,21.549999,21.59,4.152724,0
01/03/1999,21.59,21.65,20.870001,21.24,4.085403,0
01/04/1999,21.200001,22.83,21,22.809999,4.387383,0
01/05/1999,22.959999,23.68,22.959999,23.43,4.506638,0
01/06/1999,23.48,24.540001,23.43,24.540001,4.720139,0
01/07/1999,24.540001,25.040001,24.209999,24.27,4.668206,0
01/08/1999,24.200001,24.200001,23.309999,23.309999,4.483556,0
01/09/1999,23.469999,23.469999,21.450001,21.65,4.164264,0
01/10/1999,21.559999,21.66,20.790001,21.440001,4.306296,0
01/11/1999,21.52,22.299999,21.52,21.98,4.414754,0
01/12/1999,21.92,22.639999,21.450001,22.639999,4.547318,0
01/01/2000,22.389999,23.059999,21.93,22,4.469963,0
01/02/2000,22.07,22.940001,22.07,22.940001,4.660952,0
01/03/2000,23.23,23.700001,22.91,23.65,4.805209,0
01/04/2000,23.450001,23.82,22.23,23.360001,4.746289,0
01/05/2000,23.66,23.77,22.76,23.16,4.705652,0
01/06/2000,23.42,24.049999,23.42,23.860001,4.847879,0
01/07/2000,24.09,24.77,23.65,23.93,4.862101,0
01/08/2000,23.959999,25.34,23.959999,25.34,5.148585,0
01/09/2000,25.469999,25.59,22.190001,22.620001,4.595934,0
01/10/2000,22.42,22.73,21.6,22.73,5.192526,0
01/11/2000,22.639999,22.969999,22.370001,22.370001,5.110286,0
01/12/2000,22.639999,23.530001,21.690001,23.120001,5.28162,0
01/01/2001,22.75,24.66,22.75,24.66,5.826715,0
01/02/2001,24.780001,25.219999,24.35,24.5,5.788909,0
01/03/2001,24.389999,25,23.27,24.030001,5.677857,0
01/04/2001,23.790001,25.610001,23.43,25.610001,6.051183,0
01/05/2001,25.799999,27.01,25.52,26.48,6.256748,0
01/06/2001,26.719999,27.120001,26.309999,27.120001,6.40797,0
01/07/2001,27.02,27.34,26.610001,27.219999,6.431594,0
01/08/2001,27.299999,27.33,26.940001,27.1,6.403244,0
01/09/2001,27.09,27.09,22.370001,23.709999,5.602245,0
01/10/2001,23.49,25.209999,23.49,24.68,6.180724,0
01/11/2001,24.93,26.23,24.93,26.23,6.568899,0
